player_number,name,goals,assists,appearances,yellow_cards,red_cards
18,Angus Gunn,0,0,9,0,0
1,Tim Krul,0,0,29,1,0
33,Michael McGovern,0,0,0,0,0
15,Ozan Kabak,0,0,11,2,0
4,Ben Gibson,0,0,28,3,1
5,Grant Hanley,1,0,33,2,0
44,Angrew Omobamidele,1,0,5,1,0
6,Christoph Zimmermann,0,0,3,0,0
30,Dimitrios Giannouli,0,1,18,2,0
2,Max Aarons,0,2,34,8,0
3,Sam Byram,0,0,15,3,0
16,Mathias Normann,1,2,23,6,0
19,Jacob Lungi Sorensen,0,0,10,0,0
20,Pierre Less Melou,1,1,33,5,0
23,Kenny McLean,1,0,31,3,0
7,Lukas Rupp,0,0,19,0,0
10,Kieran Dowell,1,1,19,0,0
46,Jonathan Rowe,0,1,13,0,0
18,Christos Tzolis,0,0,14,0,0
11,Przemyslaw Placheta,0,0,12,1,0
17,Milot Rashica,1,2,31,0,0
24,Josh Sargent,2,1,26,1,0
22,Teemu Pukki,11,3,37,4,0
35,Adam Idah,1,1,17,0,0