ID,Name,Home_Stadium
1,Arsenal FC,Emirates Stadium
2,Aston Villa,Villa Park
3,Brentford FC,Brentford Community Stadium
4,Brighton and Hove Albion,AMEX Stadium
5,Burnley FC,Turf Moor
6,Chelsea FC,Stamford Bridge
7,Crystal Palace,Selhurst Park
8,Everton,Goodison Park
9,Leeds United,Elland Road
10,Leicester City,King Power Stadium
11,Liverpool FC,Anfield
12,Manchester City,Eithad Stadium
13,Manchester United,Old Trafford
14,Newcastle United,St James' Park
15,Norwich City,Carrow Road
16,Southampton FC,St Mary's Stadium
17,Tottenham Hotspur,Tottenham Hotspur Stadium
18,Watford FC,Vicarage Road
19,West Ham United,London Stadium
20,Wolverhampton Wanderers,Molineux Stadium